benchmark,n_qubits,strategy_name,naviz_length,codeGenerationTime,decomposingTime,layoutSynthesisTime,layoutSynthesizerStatistics,reuseAnalysisTime,schedulingTime,totalTime
qft,20,0,90999,2568,43,82974,"{'placementTime': 82405, 'routingTime': 522, 'totalTime': 82927}",362,116,86310
qft,20,1,90999,1711,44,85532,"{'placementTime': 84987, 'routingTime': 501, 'totalTime': 85488}",152,116,87564
qft,20,2,90999,1694,42,83477,"{'placementTime': 82917, 'routingTime': 510, 'totalTime': 83427}",163,106,85489
qft,50,0,523703,23535,220,603009,"{'placementTime': 599094, 'routingTime': 3795, 'totalTime': 602889}",681,406,627864
qft,50,1,523703,26381,218,600710,"{'placementTime': 596880, 'routingTime': 3695, 'totalTime': 600575}",659,395,628371
qft,50,2,523703,25971,203,620026,"{'placementTime': 616102, 'routingTime': 3798, 'totalTime': 619900}",662,391,647260
qft,100,0,1281197,73185,557,1693689,"{'placementTime': 1684057, 'routingTime': 9362, 'totalTime': 1693419}",1676,950,1770072
qft,100,1,1281197,72363,603,1723581,"{'placementTime': 1713869, 'routingTime': 9435, 'totalTime': 1723304}",1732,1066,1799360
qft,100,2,1281197,76713,594,1738217,"{'placementTime': 1728549, 'routingTime': 9462, 'totalTime': 1738011}",1748,1073,1818354
graphstate,20,0,9143,172,1,8905,"{'placementTime': 8835, 'routingTime': 59, 'totalTime': 8894}",13,6,9103
graphstate,20,1,7980,149,1,5919,"{'placementTime': 5859, 'routingTime': 46, 'totalTime': 5905}",16,6,6096
graphstate,20,2,9543,191,1,11214,"{'placementTime': 11137, 'routingTime': 67, 'totalTime': 11204}",13,6,11430
graphstate,50,0,24782,414,2,38611,"{'placementTime': 38382, 'routingTime': 214, 'totalTime': 38596}",27,13,39073
graphstate,50,1,23529,350,4,31086,"{'placementTime': 30811, 'routingTime': 260, 'totalTime': 31071}",29,12,31487
graphstate,50,2,24011,387,3,31199,"{'placementTime': 30943, 'routingTime': 242, 'totalTime': 31185}",25,12,31631
graphstate,100,0,53779,780,4,133330,"{'placementTime': 132653, 'routingTime': 655, 'totalTime': 133308}",42,20,134183
graphstate,100,1,56268,875,9,141508,"{'placementTime': 140759, 'routingTime': 730, 'totalTime': 141489}",61,35,142505
graphstate,100,2,56113,805,7,171214,"{'placementTime': 170517, 'routingTime': 672, 'totalTime': 171189}",41,19,172091
ghz,20,0,7250,165,3,4527,"{'placementTime': 4494, 'routingTime': 19, 'totalTime': 4513}",11,9,4720
ghz,20,1,7250,146,3,4492,"{'placementTime': 4463, 'routingTime': 17, 'totalTime': 4480}",16,8,4670
ghz,20,2,7250,184,3,4463,"{'placementTime': 4425, 'routingTime': 25, 'totalTime': 4450}",16,10,4681
ghz,50,0,19427,370,7,14171,"{'placementTime': 14073, 'routingTime': 61, 'totalTime': 14134}",29,20,14602
ghz,50,1,19427,499,33,17051,"{'placementTime': 16949, 'routingTime': 57, 'totalTime': 17006}",57,33,17698
ghz,50,2,19427,395,6,14208,"{'placementTime': 14112, 'routingTime': 57, 'totalTime': 14169}",50,19,14687
ghz,100,0,38556,696,12,24631,"{'placementTime': 24459, 'routingTime': 97, 'totalTime': 24556}",67,33,25445
ghz,100,1,38556,686,16,24491,"{'placementTime': 24322, 'routingTime': 100, 'totalTime': 24422}",64,32,25299
ghz,100,2,38556,785,12,24238,"{'placementTime': 24065, 'routingTime': 89, 'totalTime': 24154}",81,31,25156
bv,20,0,3902,87,2,2260,"{'placementTime': 2244, 'routingTime': 8, 'totalTime': 2252}",7,6,2366
bv,20,1,3902,82,1,2536,"{'placementTime': 2512, 'routingTime': 10, 'totalTime': 2522}",7,6,2637
bv,20,2,3902,69,2,2249,"{'placementTime': 2233, 'routingTime': 9, 'totalTime': 2242}",7,6,2337
bv,50,0,10197,189,3,5652,"{'placementTime': 5605, 'routingTime': 34, 'totalTime': 5639}",17,10,5877
bv,50,1,10197,201,3,5810,"{'placementTime': 5764, 'routingTime': 25, 'totalTime': 5789}",18,11,6050
bv,50,2,10197,171,4,5629,"{'placementTime': 5579, 'routingTime': 31, 'totalTime': 5610}",18,12,5840
bv,100,0,20903,338,6,12781,"{'placementTime': 12689, 'routingTime': 61, 'totalTime': 12750}",34,19,13183
